filter_id;filter_title;value_id;value_title;filter_type
0;Показатель;31448;Средние потребительские цены (тарифы) на товары и услуги;filterObjectIds
3;Год;2000;2000;columnObjectIds
3;Год;2001;2001;columnObjectIds
3;Год;2002;2002;columnObjectIds
3;Год;2003;2003;columnObjectIds
3;Год;2004;2004;columnObjectIds
3;Год;2005;2005;columnObjectIds
3;Год;2006;2006;columnObjectIds
3;Год;2007;2007;columnObjectIds
3;Год;2008;2008;columnObjectIds
3;Год;2009;2009;columnObjectIds
3;Год;2010;2010;columnObjectIds
3;Год;2011;2011;columnObjectIds
3;Год;2012;2012;columnObjectIds
3;Год;2013;2013;columnObjectIds
3;Год;2014;2014;columnObjectIds
3;Год;2015;2015;columnObjectIds
3;Год;2016;2016;columnObjectIds
3;Год;2017;2017;columnObjectIds
3;Год;2018;2018;columnObjectIds
3;Год;2019;2019;columnObjectIds
3;Год;2020;2020;columnObjectIds
3;Год;2021;2021;columnObjectIds
58273;Виды товаров и услуг;1754712;Фарш мясной, кг;lineObjectIds
58273;Виды товаров и услуг;1754719;Пельмени, манты, равиоли, кг;lineObjectIds
58273;Виды товаров и услуг;1754735;Печень говяжья, кг;lineObjectIds
58273;Виды товаров и услуг;1709756;Говядина (кроме бескостного мяса), кг;lineObjectIds
58273;Виды товаров и услуг;1709713;Говядина бескостная, кг;lineObjectIds
58273;Виды товаров и услуг;1709753;Свинина (кроме бескостного мяса), кг;lineObjectIds
58273;Виды товаров и услуг;1709748;Куры охлажденные и мороженые, кг;lineObjectIds
58273;Виды товаров и услуг;1743466;Окорочка куриные, кг;lineObjectIds
58273;Виды товаров и услуг;1755103;Баранина (кроме бескостного мяса), кг;lineObjectIds
58273;Виды товаров и услуг;1709731;Свинина бескостная, кг;lineObjectIds
58273;Виды товаров и услуг;1755177;Мясо индейки,кг;lineObjectIds
58273;Виды товаров и услуг;1743476;Колбаса вареная, кг;lineObjectIds
58273;Виды товаров и услуг;1743458;Сосиски, сардельки, кг;lineObjectIds
58273;Виды товаров и услуг;1709791;Колбаса полукопченая и варено-копченая, кг;lineObjectIds
58273;Виды товаров и услуг;1754708;Колбаса сырокопченая, кг;lineObjectIds
58273;Виды товаров и услуг;1754744;Мясокопчености, кг;lineObjectIds
58273;Виды товаров и услуг;1754759;Кулинарные изделия из птицы, кг;lineObjectIds
58273;Виды товаров и услуг;1755075;Консервы мясные, 350 г;lineObjectIds
58273;Виды товаров и услуг;1755178;Консервы мясные для детского питания, кг;lineObjectIds
58273;Виды товаров и услуг;1709808;Рыба живая и охлажденная, кг;lineObjectIds
58273;Виды товаров и услуг;1754723;Рыба охлажденная и мороженая разделанная лососевых пород, кг;lineObjectIds
58273;Виды товаров и услуг;1754713;Филе рыбное, кг;lineObjectIds
58273;Виды товаров и услуг;1709806;Рыба соленая, маринованная, копченая, кг;lineObjectIds
58273;Виды товаров и услуг;1709732;Рыба мороженая разделанная (кроме лососевых пород), кг;lineObjectIds
58273;Виды товаров и услуг;1743472;Рыба мороженая неразделанная, кг;lineObjectIds
58273;Виды товаров и услуг;1754811;Икра лососевых рыб, отечественная, кг;lineObjectIds
58273;Виды товаров и услуг;1754801;Соленые и копченые деликатесные продукты из рыбы, кг;lineObjectIds
