filter_id;filter_title;value_id;value_title;filter_type
0;Показатель;34118;Введено в действие общей площади жилых домов (оперативные данные);filterObjectIds
3;Год;2019;2019;columnObjectIds
3;Год;2020;2020;columnObjectIds
3;Год;2021;2021;columnObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688487;Российская Федерация;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688488;Центральный федеральный округ;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688489;Белгородская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688490;Брянская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688491;Владимирская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688492;Воронежская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688493;Ивановская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688494;Калужская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688495;Костромская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688496;Курская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688497;Липецкая область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688498;Московская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688499;Орловская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688500;Рязанская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688501;Смоленская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688502;Тамбовская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688503;Тверская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688504;Тульская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688505;Ярославская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688506;Город Москва столица Российской Федерации город федерального значения;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688507;Северо-Западный федеральный округ;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688508;Республика Карелия;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688509;Республика Коми;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688510;Архангельская область;lineObjectIds
57831;Классификатор объектов административно-территориального деления (ОКАТО);1688511;Ненецкий автономный округ (Архангельская область);lineObjectIds
